id,iso_3,clip_all,clip_intl,attr_all,attr_intl,adm0_name,adm0_name1,cod_lvl,cod_lvl_max,cod_api_idx,cod_lang,cod_lang1,cod_lang2,geoboundaries_lvl,geoboundaries_lvl_max,geoboundaries_grp
CRI,CRI,,,,,Costa Rica,Costa Rica,3,,,es,,,2,3,
CUB,CUB,,,,,Cuba,Cuba,2,,,es,,,2,,
CUW,CUW,,,,,Curaçao (Neth.),Curaçao,0,,,nl,,,,0,
CXR,CXR,,,,,Christmas Island (Aust.),Christmas Island,,,,,,,,,
CYM,CYM,,,,,Cayman Islands (UK),Cayman Islands,1,,,en,,,,0,
CYP,CYP,,,,,Cyprus,Cyprus,,,,,,,1,2,
CZE,CZE,,,,,Czechia,Czechia,,,,,,,4,,
DEU,DEU,,,,,Germany,Germany,,,,,,,3,,
DJI,DJI,,,,,Djibouti,Djibouti,2,,,en,,,2,,
DMA,DMA,,,,,Dominica,Dominica,1,,,en,,,1,,
DNK,DNK,,,,,Denmark,Denmark,,,,,,,2,,
DOM,DOM,,,,,Dominican Republic,Dominican Republic,4,,,es,,,2,,
DZA,DZA,,,,,Algeria,Algeria,2,,,en,ar,,1,3,
ECU,ECU,,,,,Ecuador,Ecuador,3,,,es,,,2,,
EGY,EGY,,,,,Egypt,Egypt,2,,1,en,ar,,2,,
ERI,ERI,,,,,Eritrea,Eritrea,2,,,en,,,2,,
ESH,ESH,,,,,Western Sahara,Western Sahara,1,,,en,,,,,
ESP_1,ESP,,,,,Spain,Spain,,,,,,,3,,
ESP_2,ESP,,,,,Canary Islands (Sp.),Spain,,,,,,,3,,
ESP_3,ESP,,,,,Plazas de soberanía (Sp.),Spain,,,,,,,3,,
EST,EST,,,,,Estonia,Estonia,,,,,,,3,,
ETH,ETH,,,,,Ethiopia,Ethiopia,3,,,en,,,3,,
FIN,FIN,,,,,Finland,Finland,,,,,,,3,,
FJI,FJI,,,,,Fiji,Fiji,3,,,en,,,4,,
FLK,FLK,,,,,Falkland Islands (Malvinas),Falkland Islands (Malvinas),,,,,,,,0,
FRA,FRA,,,,,France,France,,,,,,,3,5,
FRO,FRO,,,,,Faroe Islands (Den.),Faroe Islands,,,,,,,,0,
FSM,FSM,,,,,Micronesia (Federated States of),Micronesia (Federated States of),2,,,en,,,2,,
GAB,GAB,,,,,Gabon,Gabon,2,,,fr,,,2,,
GBR,GBR,,,,,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,,,,,,,2,3,
GEO,GEO,0,0,,,Georgia,Georgia,1,2,,en,ka,,2,,
GEO_1,GEO,,,,GEO,Georgia,Georgia,1,2,,en,ka,,2,,
GEO_2,GEO,,,,GEO,Abkhazia,Georgia,1,2,,en,ka,,2,,
GEO_3,GEO,,,,GEO,Ajaria,Georgia,1,2,,en,ka,,2,,
GGY,GGY,,,,,Guernsey (UK),Guernsey,,,,,,,,0,
GHA,GHA,,,,,Ghana,Ghana,2,,,en,,,2,,
GIB,GIB,,,,,Gibraltar (UK),Gibraltar,,,,,,,,0,
GIN,GIN,,,,,Guinea,Guinea,3,,1,fr,,,3,,
GLP,GLP,,,,,Guadeloupe (Fr.),Guadeloupe,2,,,fr,,,4,4,
GMB,GMB,,,,,Gambia,Gambia,3,,,en,,,3,,
GNB,GNB,,,,,Guinea-Bissau,Guinea-Bissau,2,,,en,,,2,,
GNQ,GNQ,,,,,Equatorial Guinea,Equatorial Guinea,2,,,en,,,2,,
GRC,GRC,,,,,Greece,Greece,,,,,,,3,,
GRD,GRD,,,,,Grenada,Grenada,1,,,en,,,1,,
GRL,GRL,,,,,Greenland (Den.),Greenland,,,,,,,1,,
GTM,GTM,,,,,Guatemala,Guatemala,2,,,es,,,2,,
GUF,GUF,,,,,French Guiana (Fr.),French Guiana,2,,,fr,,,3,3,
GUM,GUM,,,,,Guam (USA),Guam,,,,,,,2,2,
GUY,GUY,,,,,Guyana,Guyana,2,,,en,,,2,,
HKG,HKG,,,,,"China, Hong Kong SAR","China, Hong Kong Special Administrative Region",2,,,en,zh,,,,
HMD,HMD,,,,,Heard Island and McDonald Islands (Aust.),Heard Island and McDonald Islands,,,,,,,,,
HND,HND,,,,,Honduras,Honduras,2,,1,es,,,2,,
HRV,HRV,,,,,Croatia,Croatia,,,,,,,2,,
